ts_code,trade_date,adj_factor
600519.SH,20010827,1.0
600519.SH,20010828,1.0
600519.SH,20010829,1.0
600519.SH,20010830,1.0
600519.SH,20010831,1.0
600519.SH,20010903,1.0
600519.SH,20010904,1.0
600519.SH,20010905,1.0
600519.SH,20010906,1.0
600519.SH,20010907,1.0
600519.SH,20010910,1.0
600519.SH,20010911,1.0
600519.SH,20010912,1.0
600519.SH,20010913,1.0
600519.SH,20010914,1.0
600519.SH,20010917,1.0
600519.SH,20010918,1.0
600519.SH,20010919,1.0
600519.SH,20010920,1.0
600519.SH,20010921,1.0
600519.SH,20010924,1.0
600519.SH,20010925,1.0
600519.SH,20010926,1.0
600519.SH,20010927,1.0
600519.SH,20010928,1.0
600519.SH,20011008,1.0
600519.SH,20011009,1.0
600519.SH,20011010,1.0
600519.SH,20011011,1.0
600519.SH,20011012,1.0
600519.SH,20011015,1.0
600519.SH,20011016,1.0
600519.SH,20011017,1.0
600519.SH,20011018,1.0
600519.SH,20011019,1.0
600519.SH,20011022,1.0
600519.SH,20011023,1.0
600519.SH,20011024,1.0
600519.SH,20011025,1.0
600519.SH,20011026,1.0
600519.SH,20011029,1.0
600519.SH,20011030,1.0
600519.SH,20011031,1.0
600519.SH,20011101,1.0
600519.SH,20011102,1.0
600519.SH,20011105,1.0
600519.SH,20011106,1.0
600519.SH,20011107,1.0
600519.SH,20011108,1.0
600519.SH,20011109,1.0
600519.SH,20011112,1.0
600519.SH,20011113,1.0
600519.SH,20011114,1.0
600519.SH,20011115,1.0
600519.SH,20011116,1.0
600519.SH,20011119,1.0
600519.SH,20011120,1.0
600519.SH,20011121,1.0
600519.SH,20011122,1.0
600519.SH,20011123,1.0
600519.SH,20011126,1.0
600519.SH,20011127,1.0
600519.SH,20011128,1.0
600519.SH,20011129,1.0
600519.SH,20011130,1.0
600519.SH,20011203,1.0
600519.SH,20011204,1.0
600519.SH,20011205,1.0
600519.SH,20011206,1.0
600519.SH,20011207,1.0
600519.SH,20011210,1.0
600519.SH,20011211,1.0
600519.SH,20011212,1.0
600519.SH,20011213,1.0
600519.SH,20011214,1.0
600519.SH,20011217,1.0
600519.SH,20011218,1.0
600519.SH,20011219,1.0
600519.SH,20011220,1.0
600519.SH,20011221,1.0
600519.SH,20011224,1.0
600519.SH,20011225,1.0
600519.SH,20011226,1.0
600519.SH,20011227,1.0
600519.SH,20011228,1.0
600519.SH,20011231,1.0
600519.SH,20020104,1.0
600519.SH,20020107,1.0
600519.SH,20020108,1.0
600519.SH,20020109,1.0
600519.SH,20020110,1.0
600519.SH,20020111,1.0
600519.SH,20020114,1.0
600519.SH,20020115,1.0
600519.SH,20020116,1.0
600519.SH,20020117,1.0
600519.SH,20020118,1.0
600519.SH,20020121,1.0
600519.SH,20020122,1.0
600519.SH,20020123,1.0
600519.SH,20020124,1.0
600519.SH,20020125,1.0
600519.SH,20020128,1.0
600519.SH,20020129,1.0
600519.SH,20020130,1.0
600519.SH,20020131,1.0
600519.SH,20020201,1.0
600519.SH,20020204,1.0
600519.SH,20020205,1.0
600519.SH,20020206,1.0
600519.SH,20020207,1.0
600519.SH,20020208,1.0
600519.SH,20020225,1.0
600519.SH,20020226,1.0
600519.SH,20020227,1.0
600519.SH,20020228,1.0
600519.SH,20020301,1.0
600519.SH,20020304,1.0
600519.SH,20020305,1.0
600519.SH,20020306,1.0
600519.SH,20020307,1.0
600519.SH,20020308,1.0
600519.SH,20020311,1.0
600519.SH,20020312,1.0
600519.SH,20020313,1.0
600519.SH,20020314,1.0
600519.SH,20020315,1.0
600519.SH,20020318,1.0
600519.SH,20020319,1.0
600519.SH,20020320,1.0
600519.SH,20020321,1.0
600519.SH,20020322,1.0
600519.SH,20020325,1.0
600519.SH,20020326,1.0
600519.SH,20020327,1.0
600519.SH,20020328,1.0
600519.SH,20020329,1.0
600519.SH,20020401,1.0
600519.SH,20020402,1.0
600519.SH,20020403,1.0
600519.SH,20020404,1.0
600519.SH,20020405,1.0
600519.SH,20020408,1.0
600519.SH,20020409,1.0
600519.SH,20020410,1.0
600519.SH,20020411,1.0
600519.SH,20020412,1.0
600519.SH,20020415,1.0
600519.SH,20020416,1.0
600519.SH,20020417,1.0
600519.SH,20020418,1.0
600519.SH,20020419,1.0
600519.SH,20020422,1.0
600519.SH,20020423,1.0
